"Transport-
datum";"Genehmigungs-
inhaber";Beförderer;Absender;Land;Empfänger;Land;Inhalt;"An-
zahl";"radio-
aktiver
Stoff 1";"Masse
in g";Exponent;"radio-
aktiver
Stoff 2";"Masse
in g";Exponent;Versandstück
05.01.1999;RSB Logistic;Kieserling;Urenco/NL;NL;FBFC/F; F;UF6 ang.;;U-235;154000;;;;;USA/9196/AF
05.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;Siemens Erlangen;D;UO2 Grünlinge, Pell.;;U-235;33000;;;;;D/4095/AF-85
07.01.1999;NCS;NCS;ANF Lingen;D;Siemens AG;D;U Probe(n);;U-235;25;-1;;;;Alukoffer
10.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Doel/B;B;BE;12;U-235;245040;;;;;D/4137/AF-85
11.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Beznau/CH;CH;BE;8;U-235;130000;;;;;D/4205/AF-85
11.01.1999;RSB Logistic;Kieserling;Siemens Erlangen;D;ANF Lingen;D;UO2 Grünlinge, Pell.;;U-235;18000;;;;;D/4095/AF-85
11.01.1999;NCS;NCS;FBFC/B;B;KWG;D;BE MOX;4;;;;Pu-fis;120000;;D/4310/B(M)F-85
12.01.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
12.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKK;D;BE;28;U-235;280840;;;;;D/4172/AF-85
13.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Beznau/CH;CH;BE;8;U-235;130000;;;;;D/4046/AF-85
13.01.1999;NCS;NCS;FBFC/B;B;KWG;D;BE MOX;4;;;;Pu-fis;120000;;D/4174/B(M)F-85
14.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKK;D;BE;28;U-235;280840;;;;;D/4172/AF-85
14.01.1999;NCS;Hapag Lloyd;CNEIC/CN;CN;ANF Lingen;D;UF6 ang.;;U-235;385000;;;;;USA/9196/AF
14.01.1999;NCS;Transkem;Eurodif/F;F;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
15.01.1999;RSB Logistic;Kieserling,Sioewalls;ANF Lingen;D;KKW Trillo/E;E;BE;4;U-235;91520;;;;;D/4292/AF-85
16.01.1999;NCS;Transkem;CNEIC/CN;CN;ANF Lingen;D;UF6 ang.;;U-235;385000;;;;;USA/9196/AF
17.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Doel/B;B;BE;12;U-235;245040;;;;;D/4137/AF-85
18.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Beznau/CH;CH;BE;8;U-235;130000;;;;;D/4205/AF-85
18.01.1999;NCS;NCS;FBFC/B;B;KWG;D;BE MOX;4;;;;Pu-fis;120000;;D/4310/B(M)F-85
19.01.1999;NCS;Transkem;ANF Lingen;D;Cogema/F;F;"UF6 ""heels""";;U-235;2240;;;;;GB/3518A/AF
19.01.1999;NCS;Kieserling,BLG,Hapag;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;600000;;;;;USA/9217/AF
19.01.1999;NCS;Transkem,Hapag Lloyd;Urenco/D;D;West/USA;USA;UF6 ang.;;U-235;147958;;;;;USA/9196/AF
19.01.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
19.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKK;D;BE;28;U-235;280840;;;;;D/4172/AF-85
19.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Doel/B;B;BE;12;U-235;245040;;;;;D/4137/AF-85
20.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Beznau/CH;CH;BE;8;U-235;130000;;;;;D/4046/AF-85
20.01.1999;RSB Logistic;Hanjin;Eurodif/F;F;KNFC/ROK;ROK;UF6 ang.;;U-235;385000;;;;;USA/9196/AF
20.01.1999;NCS;NCS;FBFC/B;B;KWG;D;BE MOX;4;;;;Pu-fis;120000;;D/4174/B(M)F-85
21.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKK;D;BE;28;U-235;280840;;;;;D/4172/AF-85
